date,open,high,low,close,volume
2000-01-10,63.8292,64.9833,62.8057,64.2375,8540500
2000-01-11,64.1667,65.9359,63.4862,64.7818,7873300
2000-01-12,65.1194,66.4150,64.3736,65.0540,6803800
2000-01-13,65.2936,65.8706,63.0126,64.3736,8489700
2000-01-14,65.8380,67.1281,63.9653,65.1194,10956600
2000-01-18,65.1575,65.1901,62.6043,63.0126,7643900
2000-01-19,62.9092,66.4150,61.3468,65.0540,8634500
2000-01-20,66.9594,67.9121,64.7818,64.7818,17783400
2000-01-21,66.3442,66.9594,65.2936,66.1428,7868700
2000-01-24,66.3442,66.8886,63.4535,66.1428,6499200
2000-01-25,63.5570,65.0540,63.1487,64.8472,6936900
2000-01-26,64.8145,65.2936,63.1487,63.5570,4895100
2000-01-27,64.2375,64.4770,60.7643,61.7877,8324600
2000-01-28,61.3794,62.1634,59.9150,60.7316,6669400
2000-01-31,60.6282,61.4121,59.6755,61.1072,6202700
2000-02-01,61.1726,61.7551,59.4033,59.8824,7304700
2000-02-02,60.9711,63.0453,60.0838,61.7877,7707700
2000-02-03,62.6043,63.9653,62.0926,63.7584,6213800
2000-02-04,64.3409,64.4770,62.5009,62.9418,5405300
2000-02-07,63.1487,63.6223,61.5809,62.1252,5779500
2000-02-08,63.7247,64.8473,63.3160,64.7437,5464300
2000-02-09,64.8473,65.2560,63.7574,63.9590,5374700
2000-02-10,64.1334,64.9127,63.6866,64.9127,4446600
2000-02-11,64.8800,65.0870,62.4278,62.8692,5749400
2000-02-14,63.2125,63.4141,62.3951,63.2452,4544000
2000-02-15,63.1416,63.9972,62.0518,63.8228,5177500
2000-02-16,63.4849,63.9263,62.8038,63.0762,3966900
2000-02-17,63.4849,64.7764,63.0762,63.6212,5237500
2000-02-18,62.8038,63.1798,60.7603,61.3052,7673400
2000-02-22,61.0327,61.8174,59.2617,60.4878,7654800
2000-02-23,60.2153,60.2153,59.1255,59.2617,7435300
2000-02-24,59.2944,60.4878,58.9565,60.2153,9112000
2000-02-25,59.8720,59.8720,57.1855,58.8530,10312200
2000-02-28,57.0111,58.0356,56.6406,56.9457,8479900
2000-02-29,57.5233,57.5233,55.0057,55.9921,10484900
2000-03-01,55.5834,57.4907,54.5262,54.6297,10807800
2000-03-02,54.7660,57.4580,54.2210,56.1937,11192900
2000-03-03,58.4443,59.9429,57.7958,58.8530,10162800
2000-03-06,59.9102,60.4878,55.0384,56.1610,10747400
2000-03-07,57.7631,58.3081,55.4144,56.1283,10035100
2000-03-08,56.1283,58.2372,55.9921,57.8994,8376400
2000-03-09,58.0356,58.8530,56.7386,58.8530,6334100
2000-03-10,58.6459,59.3979,57.2182,57.3544,7093200
2000-03-13,56.6732,59.3979,55.8558,58.6841,7871000
2000-03-14,58.7168,59.9429,58.5097,59.1908,7973700
2000-03-15,58.5805,58.9892,57.8285,58.3081,5665900
2000-03-16,59.3979,59.8393,58.7821,59.3979,6622500
2000-03-17,58.9892,60.8638,58.6841,59.9429,8857300
2000-03-20,59.9429,61.7793,59.9102,61.4414,6563500
2000-03-21,61.4741,62.4986,61.0000,61.8501,6771600
2000-03-22,62.3951,62.8692,62.0518,62.2588,6137800
2000-03-23,63.1416,63.1416,60.8257,62.8038,6492400
2000-03-24,62.8692,66.6183,62.7002,65.7301,12125600
2000-03-27,68.1169,69.8879,67.9098,69.1359,11862900
2000-03-28,68.5256,69.2068,66.5148,66.7545,8149600
2000-03-29,66.6510,66.7219,64.5748,64.8473,7312300
2000-03-30,64.7764,67.0270,64.6783,66.8908,9158000
2000-03-31,66.8199,67.4357,63.7901,64.5040,8015200
2000-04-03,65.3922,66.6837,65.0870,66.4821,7715600
2000-04-04,66.2096,69.1741,62.7002,66.0407,16667200
2000-04-05,65.6647,68.5256,65.2560,68.1169,8693500
2000-04-06,67.2995,69.7517,66.8199,66.8908,8887400
2000-04-07,67.2995,68.4929,66.2096,67.0924,5380300
2000-04-10,67.9807,68.3185,66.2423,66.5475,5507300
2000-04-11,66.2750,66.2750,64.1988,65.0489,7738700
2000-04-12,65.1851,65.1851,60.8638,61.9864,8885200
2000-04-13,61.3052,62.2915,59.9429,60.2807,8236400
2000-04-14,59.8393,61.4414,56.0575,57.2182,11782000
2000-04-17,56.6024,61.1690,56.2972,60.9619,9969500
2000-04-18,61.1690,62.7329,59.9756,60.7603,8205500
2000-04-19,59.8066,59.8066,56.0248,57.2182,14674500
2000-04-20,57.2182,57.3544,55.6161,56.6732,10633300
2000-04-24,55.5834,58.4116,55.1747,58.0356,8523100
2000-04-25,58.0356,61.5777,58.0029,61.3052,9576400
2000-04-26,61.3052,62.0899,59.3979,60.2153,6182800
2000-04-27,59.6704,61.6431,59.2290,60.2807,6317500
2000-04-28,61.0327,61.4087,60.0083,60.7603,4888600
2000-05-01,61.3052,61.6812,60.1826,61.0327,4196100
2000-05-02,60.4878,61.9155,60.3189,60.6894,4085000
2000-05-03,60.2153,60.5532,58.0683,58.9184,5543800
2000-05-04,59.4633,59.5015,58.4116,58.6459,3631300
2000-05-05,58.1010,59.7358,58.0356,58.7821,4695100
2000-05-08,58.9554,60.2157,58.7154,59.8775,4826900
2000-05-09,60.2867,60.3521,59.0591,59.4683,4864900
2000-05-10,57.5587,57.6624,55.6820,56.1948,10012700
2000-05-11,56.7404,58.6499,56.2985,56.9804,8106200
2000-05-12,56.6040,57.6951,56.3312,56.9804,5599700
2000-05-15,56.7404,57.2150,55.6492,56.8440,5907800
2000-05-16,57.3514,59.6047,57.2860,59.4683,7265800
2000-05-17,58.6499,59.3974,57.8970,58.8518,5524500
2000-05-18,57.8970,58.5463,57.1168,57.8643,4577200
2000-05-19,57.8643,58.6499,57.2860,58.0716,6419200
2000-05-22,57.8315,59.6047,56.4349,59.6047,6769400
2000-05-23,59.4683,60.0139,58.4426,58.5790,5978900
2000-05-24,58.1043,60.0139,56.8440,59.8065,8184200
2000-05-25,60.2867,61.2414,58.0334,58.1043,5967600
2000-05-26,57.5587,58.4808,57.0459,58.3444,4296900
2000-05-30,58.7863,60.5594,58.7536,60.5267,3617500
2000-05-31,60.2867,60.4230,58.4808,58.5463,3732500
2000-06-01,58.6826,59.4355,57.5587,57.8315,5712500
2000-06-02,59.4683,59.8775,58.7154,59.3646,5473300
2000-06-05,59.1628,62.2998,59.1628,61.5469,7281400
2000-06-06,61.2414,62.5344,60.6958,61.3069,5369400
2000-06-07,61.3778,66.4244,60.8322,66.0152,11115500
2000-06-08,65.1260,66.7300,64.1057,65.3333,9325600
2000-06-09,65.3987,65.8789,64.8532,65.3005,4739100
2000-06-12,64.9896,65.7097,64.8368,64.8368,3640300
2000-06-13,64.8532,65.4369,63.6965,65.0932,4008600
2000-06-14,64.8532,65.4697,63.0146,63.2873,5282600
2000-06-15,63.2873,64.9241,63.2164,63.7293,5386300
2000-06-16,63.4565,64.2094,61.7870,61.7870,8046200
2000-06-19,61.9234,65.6715,61.7870,65.6715,6059200
2000-06-20,65.4697,65.8461,62.9436,63.4892,7103800
2000-06-21,63.0473,63.2546,61.9234,62.4690,6487000
2000-06-22,62.2617,62.3653,60.6958,61.0014,4853100
2000-06-23,61.9234,61.9889,60.4558,61.0341,3360900
2000-06-26,61.6506,63.1509,61.5797,62.4199,3625900
2000-06-27,60.8977,61.5469,59.3319,59.8775,6607900
2000-06-28,60.0139,62.8454,59.9429,62.0762,6436600
2000-06-29,60.9686,62.3980,60.0466,62.1962,7688500
2000-06-30,61.4815,61.7543,59.2610,59.7738,8612600
2000-07-03,59.3319,59.9429,59.0918,59.7411,2304400
2000-07-05,57.6242,57.6242,55.1691,57.2860,14339600
2000-07-06,57.2860,57.3514,54.5581,55.2400,12932700
2000-07-07,56.0257,57.3187,55.4419,57.3187,9031700
2000-07-10,57.1168,57.2532,56.1239,56.3639,4212200
2000-07-11,56.3312,56.7404,55.1036,55.6492,5619800
2000-07-12,56.2985,57.7606,55.9875,57.0786,5550500
2000-07-13,57.5260,57.7988,55.6492,56.7404,5669700
2000-07-14,56.6040,57.2150,56.2603,56.7076,4020000
2000-07-17,56.9804,58.8518,56.8440,57.5587,6632700
2000-07-18,56.8058,57.1823,55.9875,56.3639,6452700
2000-07-19,55.8511,59.7411,55.1036,59.3319,7781400
2000-07-20,61.1050,64.2748,60.9686,63.9693,23048400
2000-07-21,63.8329,63.8329,62.0598,62.6054,8966400
2000-07-24,62.2617,63.0800,60.8977,61.3778,6814400
2000-07-25,61.7870,61.8525,60.1503,61.1050,5566900
2000-07-26,60.5594,61.3069,59.3974,59.9429,6670400
